text,date,link
"Le salon international itinérant « Al Omrane Expo MDM » qui a repris sa tournée cette année, fait escale à Madrid jusqu’au 12 juin avant de prendre la destination de Bruxelles qui sera suivie par d’autres villes. Ce roadshow annuel permet au groupe Al Omrane d’aller à la rencontre des marocains du monde après deux années de suspension pour cause de crise sanitaire. Ce salon, placé à l’instar de son édition nationale, sous l’égide du ministère de l’Aménagement du territoire national, de l’urbanisme, de l’habitat et de la politique de la ville, a démarré sa tournée à Paris, du 20 au 22 mai. Du 10 au 12 juin, il fait escale à Madrid avant de poursuivre à Bruxelles et dans d’autres villes. Madrid qui a abrité l’étape institutionnelle annuelle du salon et a vu l’organisation d’une cérémonie officielle ainsi qu’une conférence sous le thème « Marocain du monde, une composante essentielle du développement socio-économique du royaume ». L’événement a été présidé par Fatima Ezzahra El Mansouri, ministre de l’aménagement du territoire national, de l’urbanisme, de l’habitat et de la politique de la ville, accompagnée de S.E.Mme Karima Benyaich, ambassadeur du Maroc en Espagne et du président du directoire du groupe Al Omrane. Ce salon permet de présenter les offres développées par le groupe à travers l’ensemble du territoire national, en produits d’habitat (logements et terrains) ainsi que les opportunités d’investissement dans le secteur de la promotion immobilière ou d’autres activités économiques (lots pour commerce, industries et autres). Il permet également, à travers la rencontre des marocains du monde et de leurs associations, de mieux comprendre leurs besoins et écouter leurs doléances. L’étape madrilène a été marquée par la qualité des participants représentant différentes composantes de la société civile des marocains établis en Espagne, avec la présence de plusieurs catégories socio-professionnelles, ainsi que les représentations consulaires, publiques et professionnelles marocaines installées dans la capitale espagnole. À rappeler que ce salon ""Al Omrane Expo MDM a permis depuis son lancement en 2013 de visiter 4 continents, 40 villes étrangères à travers 55 étapes et de toucher plus de 550.000 marocains du monde"".",2022-06-11 00:00:00.000000,https://lematin.ma/express/2022/salon-al-omrane-expo-mdm-lance-officiellement-madrid/376936.html
"La Fédération Nationale des Promoteurs Immobiliers (FNPI) annonce la tenue de la 2ème édition du Salon Immogallery du 21 au 30 juin 2022 à Anfa Park-Casablanca. Près de 30.000 visiteurs sont attendus à la rencontre des 30 exposants venus proposer des offres spéciales d’achat et de location de biens immobiliers. Il s’agit d’un concept inédit de salon qui s’inscrit dans une approche citoyenne avec la volonté d’apporter un soutien aux jeunes musiciens marocains, explique la FNPI dans un communiqué. Cette édition du Salon Immogallery, salon de l’immobilier de standing, proposera ainsi série de concerts quotidiens de jeunes musiciens marocains, une gaming zone et des espaces de restauration. « Pour cette 2ème édition du Salon Immogallery, très attendue par l’ensemble des acteurs de l’immobilier, de nombreux promoteurs immobiliers nationaux ont d’ores et déjà confirmé leur engagement pour y prendre part », indique la fédération. Le salon offre également une plateforme d’échange et de réflexion sur les grands enjeux du secteur immobilier au Maroc.",2022-06-11 00:00:00.000000,https://lematin.ma/express/2022/2eme-edition-salon-immogallery-prevue-21-30-juin/376935.html
"Le Crédit Agricole du Maroc lance un nouveau concept à l’intention des agriculteurs leur permettant de disposer de deux comptes distincts et étanches : un compte professionnel « Hssab Al Ard » lié à son exploitation agricole et son activité professionnelle et un autre compte personnel « Hssab Dar » pour gérer ses besoins personnels et familiaux. « Alors qu’historiquement dans le monde rural et à défaut d’une structuration juridique de leurs activités professionnelles, les agriculteurs ont souvent mêlé dépenses personnelles et professionnelles, le Crédit Agricole du Maroc apporte désormais aux agriculteurs une solution inédite avec la possibilité de pouvoir bénéficier d’une distinction entre leurs besoins, revenus et dépenses personnels en tant que clients particuliers et leurs revenus et dépenses liés à leurs activités professionnelles à l’instar de la pratique dans le monde urbain », explique l’établissement bancaire dans un communiqué. Ainsi, cette approche conceptualise la double relation bancaire pour les agriculteurs afin de les accompagner à la fois dans leurs activités professionnelles et dans leurs activités privées. Elle s’appuiera sur la mise en place du Registre National de l’Agriculture (RNA) pour assurer une gestion spécifique et distincte des projets de financement adossés au compte professionnel de l’agriculteur tout en lui offrant l’ouverture d’un compte personnel gratuit pour couvrir l’ensemble de ses besoins personnels et familiaux. Cette nouvelle approche s’inscrit également dans le cadre de l’accompagnement de la mise en place du programme de généralisation de la couverture sociale au profit des agriculteurs, note la même source. « Identifié par le numéro de la CNIE, l’agriculteur pourra disposer d’un compte chèque lui permettant de gérer ses revenus et dépenses personnels et familiaux et comptera comme opérations au crédit son épargne, le produit de sa retraite, les virements divers à son bénéfice, les recettes hors exploitation agricole. Au débit, figureront les dépenses personnelles, les remboursements crédits personnels (hors exploitation), les souscriptions aux produits de bancassurance optionnels (épargne, retraite, santé, etc) », explique la banque. Et de préciser que ce compte personnel est proposé par la banque et n’engage aucun frais de tenue de compte. Quant à la gestion des besoins professionnels, elle sera assurée dans le cadre de Hssab Al Ard. « Grâce à l’identification du numéro unique octroyé dans le cadre de la mise en oeuvre du RNA, l’agriculteur bénéficiera d’un compte courant permettant, en opération au crédit du compte, les déblocages des crédits, les recettes de l’exploitation, les subventions FDA, les autres Incitations financières de l’Etat, les indemnisations issues des produits d’assurances MAMDA. Au débit de ce compte, seront portées les dépenses diverses de l’exploitation, les redevances d’eau d’irrigation, le remboursement des crédits ainsi que les cotisations de l’AMO en faveur de la CNSS », explique la même source. Et de préciser que ce compte professionnel fonctionnera comme le compte des entreprises selon les tarifications en vigueur pour les différentes opérations.",2022-06-11 00:00:00.000000,https://lematin.ma/express/2022/credit-agricole-maroc-cree-hssab-dar-compte-personnel-agriculteurs/376933.html
"La Confédération générale des entreprises du Maroc (CGEM) a tenu, vendredi à Casablanca, son Assemblée générale ordinaire (AGO) sous la présidence de M. Chakib Alj. Cette AGO a connu l'approbation du rapport moral de 2021, du rapport financier de 2021, du rapport du commissariat aux comptes sur l'exercice 2021 et des comptes et quitus à la présidence et au Conseil d’administration de la CGEM. A cette occasion, M. Alj a indiqué que ""les deux dernières années n’ont pas été de tout repos"", faisant observer que l’apparition de la pandémie du Covid-19 a eu un impact considérable sur l’économie. ""Avec anticipation et réactivité, toutes les instances de la CGEM se sont mobilisées, aux côtés du gouvernement, pour mettre en place des mesures de soutien urgentes et ciblées. Notre objectif majeur était de sauvegarder les entreprises, notamment les TPME et les emplois"", a-t-il souligné. Il a, dans ce sens, relevé qu'au sein du Comité de veille économique (CVE), la CGEM a toujours été un membre très actif, écouté, alimentant en permanence l’exécutif de recommandations. ""Le secteur privé national a fait preuve de solidarité, de résilience et d’agilité, félicitées à l’échelle internationale, ce qui a grandement contribué à la réussite de la gestion de la crise malgré l’ampleur des difficultés"", a dit M. Alj. Et de poursuivre: ""Avec le gouvernement, nous continuons à travailler, de manière étroite, pour, non seulement instaurer des mesures de soutien aux entreprises, mais également pour faire aboutir les chantiers économiques stratégiques capables de libérer notre économie et de renforcer la compétitivité de nos entreprises en adéquation avec le Nouveau modèle de développement de notre pays"". Par ailleurs, M. Alj a rappelé la publication par la CGEM, en octobre dernier, d'un livre blanc auquel ont contribué toutes les forces vives de la Confédération, précisant que cet ouvrage, qui traite des leviers de transformation transverses l'économie et des secteurs en mouvement, apporte des recommandations et mesures concrètes pour la réussite de la mise en œuvre du Nouveau modèle de développement (NMD). M. Alj a également mis en avant la signature par la CGEM, le gouvernement et les Syndicats, le 30 avril dernier, après plusieurs rounds de négociation, de la charte sociale pour institutionnaliser le dialogue social et un accord social tripartite. ""Ce nouvel accord, que nous considérons équilibré, est le fruit d’une démarche sérieuse, responsable et citoyenne, prenant en considération les impacts du contexte actuel de crise mondiale sur le pouvoir d’achat du citoyen marocain, mais aussi les contraintes des entreprises"", a-t-il soutenu. S'agissant de la Loi de Finances 2023, le président de la Confédération a fait savoir que la CGEM vient de déposer ses propositions auprès du ministère de l’Économie et des Finances, notant que celles-ci sont formulées à l’issue d’un processus qui a démarré en février 2022, afin d’anticiper et d’intégrer toutes les demandes des Fédérations. Il a, dans ce cadre, salué le travail de qualité réalisé par la commission fiscalité et douanes et le groupe CGEM à la Chambre des Conseillers, ainsi que la réactivité des Fédérations. En outre, M. Alj a relevé que la Charte de l'Investissement, qui est actuellement en cours d’opérationnalisation, est l'une des priorités majeures de la CGEM, soulignant que ce projet Royal, qui vise à créer 500.000 emplois, vient compléter l’ensemble des dispositifs d’accompagnement et d’incitation à l’investissement existants. L'objectif est d'inverser la proportion d’investissement privé et public, pour atteindre 2/3 pour le privé et 1/3 pour le public à horizon 2035, a-t-il fait savoir, relevant que le gouvernement affiche aussi un engagement fort, dans le cadre de cette charte, en faveur de plus de compétitivité pour les entreprises, que ce soit en matière de fiscalité, de foncier, d’accès à la commande publique ou de simplification des procédures administratives. Pour ce qui est des délais de paiement, M. Alj a noté que la CGEM œuvre, depuis plusieurs mois, pour accélérer la promulgation de la loi modifiant et complétant la loi n°15-95 formant code de commerce et édictant des dispositions particulières relatives à ces délais.",2022-06-10 00:00:00.000000,https://lematin.ma/express/2022/loi-finances-2023-cgem-depose-propositions/376903.html
"Bank Of Africa (BOA) intègre l’African Business Leaders Coalition (ABLC). Le groupe bancaire marocain a, en effet, participé à travers son administrateur-directeur général Brahim Benjelloun-Touimi, désigné en tant que membre fondateur de cette coalition, à la réunion virtuelle du 31 mai à New York, en présence de la vice-secrétaire générale de l'ONU, Amina Mohammed, et de 11 dirigeants d’entreprises privées de tout le continent africain. La Coalition des chefs d’entreprises africains créée par le Pacte mondial des Nations unies a pour but de faire progresser la croissance, la prospérité et le développement durable de l’Afrique. Les échanges par les membres fondateurs ont porté sur leur engagement et le déploiement de leurs efforts envers la durabilité dans leurs communautés, l’évolution des méthodes de financement climatique innovantes et robustes et un appel à l'action pour la communauté mondiale, indique BOA dans un communiqué.",2022-06-06 00:00:00.000000,https://lematin.ma/express/2022/bank-of-africa-membre-fondateur-lafrican-business-leaders-coalition/376672.html
"Dans le cadre de sa stratégie de digitalisation visant à renforcer sa proximité avec ses clients, Finéa lance son nouveau chatbot sur WhatsApp « FinBot », le premier en son genre au Maroc dans le domaine du financement des TPME. Dédié à sa clientèle et disponible 24/24h et 7/7j, FinBot agit comme un véritable conseiller financier en apportant à ses utilisateurs conseils et réponses quant à leur situation financière, et en les informant sur les différentes possibilités de financement proposées par Finéa. Il leur permet également d’obtenir des réponses à toutes leurs demandes de façon instantanée, leur faisant ainsi gagner un temps précieux et leur épargnant tout déplacement en succursale. Les utilisateurs ont désormais la possibilité de consulter leurs autorisations, encours et autres conditions de leurs contrats, ainsi que plusieurs autres fonctionnalités en contactant simplement un numéro WhatsApp mis à leur disposition (06 15 204 240) ou depuis le site web de Finéa via le lien suivant www.finea.ma/chatbot. FinBot constitue un véritable atout et offre à la clientèle de Finéa une expérience client innovante grâce à un service instantané et de qualité.",2022-06-06 00:00:00.000000,https://lematin.ma/express/2022/fine-lance-finbot-premier-chatbot-dedie-financement-tpme/376670.html
"Dans le cadre de sa stratégie de développement de l’aquaculture marine au Maroc, l’Agence nationale pour le développement de l’aquaculture (ANDA) lance ce lundi 06 juin 2022 deux appels à manifestation d’intérêt (AMI) pour le développement de projets d’algoculture dans la lagune de la Marchica. Le premier, adressé aux investisseurs nationaux et internationaux intéressés par le développement de projets aquacoles, propose 24 parcelles de 16 ha chacune. Le deuxième, dédié aux jeunes entrepreneurs de la région de l’Oriental et aux coopératives de marins pêcheurs opérant dans la lagune de la Marchica, porte sur 5 parcelles de 16 ha chacune. Les porteurs de projets intéressés par cette activité peuvent télécharger, les dossiers des Appels à Manifestation d’Intérêt, à partir du site de l'ANDA. Ils sont invités à déposer leurs dossiers, au plus tard le 07 novembre 2022 à 16h30.",2022-06-06 00:00:00.000000,https://lematin.ma/express/2022/algoculture-investisseurs-entrepreneurs-vos-projets/376667.html
"Après une conséquente augmentation de capital pour accompagner son plan de développement, le conseil d’administration de Palmeraie Holding, présidé par M. Saad Berrada Sounni, l’actionnaire majoritaire du groupe, annonce le changement de dénomination de la holding qui devient désormais « Africorp Consortium ». Ce changement marque une nouvelle étape d’institutionnalisation réussie du groupe enclenchée depuis quelques années, en un consortium de métiers avec un développement continental multisectoriels, une holding africaine avec des prises de participations majoritaires dans ses pôles d’activités. La dénomination des pôles d’activités a été aussi repensée pour une harmonisation de l’architecture globale des marques : Industrie & Distribution, via son pôle Africorp Industry ; Agriculture, via son pôle Africorp Agri ; Mines & Carrières, via son pôle Africorp Mining ; et Education, via son pôle Africorp Edu. Cette transformation répond ainsi au développement stratégique du groupe et vient affirmer davantage sa vocation africaine. Africorp Consortium a lancé en fin d’année dernière, la construction de son nouveau siège social à proximité de Casablanca Finance City. Ce dernier sera opérationnel courant le prochain trimestre.",2022-06-06 00:00:00.000000,https://lematin.ma/express/2022/palmeraie-holding-devient-africorp-consortium/376660.html
"Trois mois à peine nous séparent de la prochaine rentrée scolaire et les éditeurs des livres scolaires attendent toujours le verdict officiel de la Commission interministérielle chargée de statuer sur leur dossier. Ceux-ci s’attendent à recevoir incessamment une bonne nouvelle, puisque la Commission s’est rendue à leurs arguments et aurait émis un avis favorable pour une hausse des prix des manuels homologués qui tournerait autour de 20%. Cette mesure devrait néanmoins inciter les éditeurs à appliquer la préférence nationale et à travailler avec les imprimeurs locaux. La tension est à son comble chez les éditeurs de livres scolaires, mais l’on se rapproche d’un dénouement positif. Il y aura bel et bien une révision à la hausse des prix des manuels et la décision devrait tomber d’ici la semaine prochaine. Reste à statuer sur le pourcentage de hausse qui sera appliqué. «Les éditeurs ont demandé une augmentation de 67% des prix des livres scolaires, mais cette demande a été rejetée par le ministère des Finances qui l’a jugée exorbitante», confie au «Matin» une source au sein de la Commission interministérielle en charge du dossier, composée des départements des Finances, de l’Industrie et du commerce, de l’Intérieur et de l’Éducation nationale. Selon la même source, le ministère des Finance aurait consenti 20% d’augmentation, mais la décision n’a pas encore été actée et les discussions sont toujours en cours. Pour rappel, les éditeurs des livres scolaires, acculés par l’impact de la hausse des prix des intrants sur leurs marges bénéficiaires, ont saisi le ministère de l’Éducation nationale pour une révision des prix de vente publics des ouvrages homologués, lesquels sont fixés par ledit ministère et qui sont, pour la plupart, figés pour certains depuis 2002. Suite à cette demande, une commission interministérielle a été formée pour statuer sur le sujet. Après avoir étudié les doléances des éditeurs, celle-ci a mené sa propre enquête qui a confirmé les dommages subis par les principaux concernés et démontré la nécessité de revoir la tarification à la hausse. Aujourd’hui, les éditeurs sont toujours dans l’expectative. «Nous avons eu vent des informations qui circulent, mais aucune décision officielle ne nous a été communiquée à ce jour», déclare au «Matin» Ahmed Filali Ansari, président de l’Association marocaine des éditeurs (AME). Pour lui, ces 20%, ou même un peu plus, sont loin d’être suffisants pour leur permettre de rentrer dans leurs frais et de faire un bénéfice, mais permettraient au moins d’atténuer les pertes subies. «Avec les prix de l’impression qui ont augmenté de 70 à 80%, la proposition de la Commission reste en deçà de nos espoirs. Toutefois, nos interlocuteurs nous ont demandé de faire des concessions, eu égard à la conjoncture actuelle, et cette hausse permettra au moins d’amortir l’impact des dommages», souligne le président de l’AME. Le prix du papier d’édition a plus que doublé Il fait remarquer que les prix des cahiers scolaires ont subi pour leur part une augmentation de plus de 60%. Mais contrairement aux manuels scolaires homologués, relève-t-il, «cette hausse n’a provoqué aucune contestation ou intervention de la part des pouvoirs publics, parce que la fixation des prix est libre et obéit à la loi de l’offre et de la demande». L’éditeur signale par ailleurs que, depuis janvier 2022, le prix du papier d’édition est passé de 700 à 1.520 euros la tonne, soit une augmentation de 120%, précisant que le papier d’édition provient exclusivement de l’importation et que les prix sont libellés en euros ou en dollars. Il tire encore une fois la sonnette d’alarme sur les conséquences de tout retard dans la prise de décision. «L’approvisionnement risque de connaître des perturbations à cause de la rareté du papier et du retard dans la prise de décision relative à la révision des prix publics réglementés», alerte-t-il. Interpellé sur l’impact de cette hausse sur les finances des parents d’élèves, Ahmed Filali Ansari a tenu à rappeler que l’opération «Un million de cartables», qui concerne en fait 4,5 millions d’élèves des écoles publiques, acquiert 80% des livres homologués dans le cadre de l’INDH. De ce fait, estimet-il, seuls 20% des élèves des écoles privées subiront «une augmentation probable». «Notre objectif principal est d’assurer l’approvisionnement du marché pour la prochaine rentrée. Les prix actuels sont intenables», insiste-t-il. De leur côté, les imprimeurs, tout en reconnaissant la légitimité de la demande des éditeurs de réviser le prix public de vente des livres scolaires, s’attendent à ce que ceux-ci jouent le jeu en faisant prévaloir la préférence nationale que le gouvernement leur avait notifiée en mars 2021. C’est d’ailleurs l’esprit d’une lettre adressée par le Groupement Marocain des métiers de l’Impression (GMI) le 3 juin 2022 au président de l’AME. Pour rappel, la décision de mars 2021 venait en réponse aux doléances des acteurs du secteur de l’imprimerie qui dénonçaient le recours de certains éditeurs de livres scolaires, à l’impression de plusieurs millions d’exemplaires de manuels scolaires à l’étranger.",2022-06-05 00:00:00.000000,https://lematin.ma/express/2022/augmentation-prix-livres-scolaires-verdict-d-semaine-prochaine-editeurs-appliqueront-preference-nationale/376650.html
"Ciments du Maroc a réalisé un chiffre d’affaires non audité à fin mars 2022 qui s’établit à 955 millions de dirhams, en augmentation de 11% par rapport à la même période de l’année dernière. En ce qui concerne les investissements au titre du premier trimestre 2022, ils ont atteint 47 millions de dirhams en amélioration de 78% par rapport à la même période de l’année précédente et correspondent partiellement à la construction du centre de broyage de Nador.",2022-05-30 00:00:00.000000,https://lematin.ma/express/2022/ciments-maroc-chiffre-daffaires-augmentation-11-fin-mars-2022/376417.html
